,art_id,author,description,name
0,1877202,Jacques-Louis David,"The Athenian courts executed the Greek philosopher Socrates (469–399 B.C.) for the crime of impiety: his behavior toward the gods was judged to have been irreverent, and he had exerted a corrupting influence on his young male followers. Socrates declined to renounce his beliefs and died willingly, discoursing on the immortality of the soul before drinking from the cup of poisonous hemlock. In a prison of unrelieved severity, David depicted a frieze of carefully articulated figures in antique costume acting out in the language of gesture the last moments of the moral philosopher’s life. Because, shortly before the onset of the French revolution, the painting gave expression to the principle of resisting unjust authority, it is among David’s most important works. The canvas is also his most perfect statement of the Neoclassical style",The Death of Socrates
1,350098,Aelbert Cuyp,"This is a panoramic, sun-drenched river landscape – somewhat hazy in the distance – with sketchily drawn clouds. Two Dutch officers halt at the river, and water their horses next to a herder and his resting cattle. This idyllic scene does not unfold in Italy, but along the Waal between Nijmegen and Cleves, where Cuyp made landscape drawings that he took back to his workshop in Dordrecht.",River Landscape with Riders
2,350104,Jacob Isaacksz. van Ruisdael,"The windmill rises up majestically, defying the dark rain clouds and overshadowing the castle and the church of Wijk bij Duurstede. The River Lek flows in the foreground. This painting is world famous, and rightly so. In this impressive composition, Ruisdael united all the typical Dutch elements – the low-lying land, the water and the expansive sky – manipulating them to converge on the equally characteristic Dutch watermill.",Windmill at Wijk bij Duurstede
3,348974,Jozef Israëls,"This charming scene contains a message. The children of a fisherman, with their tattered rags and paltry toys, offer us a glimpse of their future. The eldest boy carries the weight of the family on his shoulders, and the little boat stands for the rigours of life at sea. Jozef Israëls first painted this subject in 1863. It became enormously popular and the artist subsequently repeated it often.",Children of the Sea
4,298899,Hendrick Avercamp,"The high vantage point of this painting turns it into a sampler of human – and animal – activity during a harsh winter. Hundreds of people are out on the ice, most of them for pleasure, others working out of dire necessity. Avercamp did not shy away from grim details: in the left foreground crows and a dog feast on the carcass of a horse that has frozen to death.",Winter Landscape with Ice Skaters
5,350093,Dirck Hals,"The 17th-century public would have delighted in this amusing spectacle. At the same time, viewers would have been aware of its hidden message: there is more to life on earth than eating, drinking and merrymaking. A telling detail is the chained monkey: it stands for sinful man, who allows himself to be fettered by his base instincts.",The Fête champêtre
6,298815,Jan Willem Pieneman,"Here the Duke of Wellington is receiving the message that Prussian forces are coming to his aid. Wellington, commander of the Anglo-Dutch troops, is the central figure in this group portrait of the major players at Waterloo. Lying wounded on a stretcher in the left foreground is the Dutch Crown Prince, later King William II. Originally intended for Wellington, the painting remained in the Netherlands thanks to William I who bought the picture for his son.",The Battle of Waterloo
7,298816,Bartholomeus van der Helst,"18 June 1648: a banquet is taking place at the Amsterdam crossbowmen’s guild. The occasion was the signing of the Treaty of Münster, which marked an end to the war with Spain. The captains of the civic guard company shake hands as a sign of peace, and the drinking horn is passed around. The poem on the drum proclaims the joy of Amsterdam’s armed militia that their weapons can henceforth be laid to rest.",Banquet in Celebration of the Treaty of Münster
8,298818,Rembrandt van Rijn,"The men are in action, busy forming up. The way that Rembrandt has arranged the figures creates immense vitality. This is reinforced by the striking use of light and shade. The men appear to be emerging from a dark gateway into the light. The girl to the captain’s left is in full light. She symbolizes the Kloveniers. The claws of the chicken hanging from her belt refer to the name ‘clauweniers’. She clasps the Kloveniers’ ceremonial drinking horn.",Night Watch
9,298409,Rembrandt van Rijn,"This is Rembrandt’s first and only corporate group portrait. The Syndics stands out for its exceptionally large format and more than life-sized figures. All eyes of the sampling officials – who assessed the quality of dyed cloth – are turned to us and one figure even rises from his chair as if to acknowledge our presence. Because of the low vantage point, the table seems to jut out of the picture.",The Syndics
10,296818,Gerrit Adriaenszoon Berckhyde,"The enormous population growth required Amsterdam to be expanded in the 17th century: the canals were constructed in stages. This is Herengracht under construction, with some plots still vacant. Especially this part of the canal became the domain of the richest. Some earned their money with the trade on Asia, and Asian goods showed off in virtually all interiors.",Gouden Bocht
11,572,Katsushika Hokusai,"[Katsushika Hokusai](https://my.meural.com/artists/164/katsushika-hokusai) was a Japanese artist, ukiyo-e artist, and printmaker. Ukiyo-e, meaning ""pictures of the floating world,"" was a genre of art that flourished in Japan between the 17th and 19th centuries. Ukiyo-e focused on subjects popular amongst the growing urban merchant class, such as courtesans, kabuki actors, sumo wrestlers, and erotica. Hokusai was a prolific ukiyo-e artist, but he ultimately moved away from the genre’s traditional subjects to depict landscapes and images of everyday life.",The Great Wave Off Kanagawa
12,109122,Henri de Toulouse-Lautrec,"In this painting, Toulouse-Lautrec captures the exuberant energy and seedy underbelly of Paris night life. As if through an opening in the crowd, we glimpse the center of the Moulin Rouge. A dancer in mid-kick lifts her skirt above her knees, while a much more modestly dressed and apparently well-heeled woman with an upturned nose looks on, a hint of disapproval in her expression. Yet why is she in this space? Toulouse-Lautrec, a great observer of night life, was familiar with Degas's depictions of the ballet. Here, he is giving a nod to the older artist, but has shifted the scene from the more regimented structure of the practice room to the dance hall with its cast of characters. The composition is like a spinning top with the female dancer at its center. ([The Art Story](https://www.theartstory.org/artist-toulouse-lautrec-henri.htm))",At the Moulin Rouge: The Dance
13,322,Edgar Degas,"Edgar Degas is best known for his paintings inspired by the ballet. However, the artist’s main interest was not in the performance itself, but rather behind-the-scenes—candid, casual moments in which ballerinas rested or rehearsed. ""The Dance Lesson"" is the first of a series of roughly 40 pictures that Degas painted in this unusual, almost panoramic format. The painting illustrates Degas’ interest in exploring perspective—he was particularly fascinated by the unexpected views and compositions of Japanese prints.",The Dance Lesson
14,45717,Paul Signac,"[Paul Signac](https://my.meural.com/artists/120/paul-signac) was a French painter at the turn of the 20th century. His influences included modern theories on optics and the cutting-edge [Impressionists](https://my.meural.com/categories/148/impressionism). Signac's style changed substantially as he incorporated the techniques and theories of [Neo-Impressionism](https://my.meural.com/playlists/21463/introducing-pointillism) (which combined ""Divisionism"" and ""Pointillism"") that he developed with Georges Seurat. The rapid, varied brushstrokes of his Impressionist style, intended to convey the effects of light on objects, were transformed into the small points of Neo-Impressionism. Signac and the Neo-Impressionists began a process in [Modernism](https://my.meural.com/categories/65/modernism) of breaking down the basic components of a painting, separating color from the objects it described. ([The Art Story](http://www.theartstory.org/artist-signac-paul.htm))","The Chateau des Papes, Avignon"
15,5995,John James Audubon,"[John James Audubon](https://my.meural.com/artists/88/john-james-audubon) was born to a French Naval Officer in French-colonized Haiti. He was sent to America at a young age, where he developed a keen interest in nature and art. Audubon dedicated his life to creating a comprehensive illustrated guide to birds in America. The monumental work was first published in Britain, where it took the work of over 40 engravers and colorists to create printable versions of Audubon’s watercolor and gouache paintings, for the modern day equivalent of $2,000,000. The resulting work, titled 'Birds of America,' is arguably the most significant illustrated ornithological work ever made.",Roseate Spoonbill
16,17483,Giovanni Canaletto,"[Giovanni Antonio Canal](https://my.meural.com/artists/19/giovanni-canaletto), better known as Canaletto, was an Italian artist revered for his beautiful, faithful paintings of cityscapes. Born in Venice to painter Bernardo Canal, Canaletto followed in his father’s footsteps, becoming a theatrical scene painter. Soon after, however, he ventured into painting the daily life of Venice and its people in “vedute”—an Italian term meaning “view” that was used in the art world as a name for highly detailed, large-scale, cityscape paintings. Canaletto’s skill for creating grand scenes of Venice canals, palaces, and England’s countryside and cities made him admired by wealthy patrons and institutions in his lifetime as well as today.",The Grand Canal in Venice with San Simeone Piccolo
17,15225,Winslow Homer,"Back in Prouts Neck, Maine, after one of his winter visits to the Bahamas, Homer painted this dramatic scene of imminent disaster. A man faces his demise on a dismasted, rudderless fishing boat, sustained by only a few stalks of sugarcane and threatened by sharks and a distant waterspout. He is oblivious to the schooner on the left horizon, which Homer later added to the canvas as a sign of hopeful rescue. Some art historians have read The Gulf Stream as symbolic, connecting it with the period’s heightened racial tensions. The painting has also been interpreted as an expression of Homer’s presumed sense of mortality and vulnerability following the death of his father. (The Met)",The Gulf Stream
18,45691,Vincent van Gogh,"The iconic, tortured artist [Vincent van Gogh](https://my.meural.com/artists/126/vincent-van-gogh) strove to convey his emotional and spiritual state in each of his artworks. Although he sold only one painting during his lifetime, van Gogh is now one of the most popular artists of all time. His canvases with densely laden, visible brushstrokes rendered in a bright, opulent palette emphasize van Gogh's personal expression brought to life in paint. Each painting provides a direct sense of how the artist viewed each scene, interpreted through his eyes, mind, and heart. This radically idiosyncratic, emotionally evocative style has continued to affect artists and movements throughout the 20th century and up to the present day, guaranteeing van Gogh's importance far into the future. ([The Art Story](http://www.theartstory.org/artist-van-gogh-vincent.htm))",Irises
19,2133249,Sandro Botticelli,"Inferno (Italian for ""Hell"") is the first part of Italian writer Dante Alighieri's 14th-century epic poem Divine Comedy. It is followed by Purgatorio and Paradiso. The Inferno tells the journey of Dante through Hell, guided by the ancient Roman poet Virgil. In the poem, Hell is depicted as nine concentric circles of torment located within the Earth; it is the ""realm ... of those who have rejected spiritual values by yielding to bestial appetites or violence, or by perverting their human intellect to fraud or malice against their fellowmen"". As an allegory, the Divine Comedy represents the journey of the soul toward God, with the Inferno describing the recognition and rejection of sin.",Inferno
20,17682,Raphael Sanzio da Urbino,"By combining figures from the contemporary world with revered ancient Greeks, the work becomes a visual embodiment of the thriving Renaissance adoption of humanism. Raphael innovatively uses color to create a sense of dynamic intellectual movement, as notes of blue on the right and red on the left draw the eye along the diagonals created by the perspective toward Plato and Aristotle. 

The architectural setting of the fresco seamlessly merges with the piece as a perfect example of trompe d'oeil. It is as if the wall itself is opening to reveal this spacious classical setting, its arches leading to the blue sky in the background. The building depicted is a Greek cross, and was influenced by the architect Bramante's designs. Later working as an architect, Raphael wrote that he hoped "" to renew the beautiful forms of ancient buildings.""  (The Art Story)","School of Athens, from the Stanza della Segnatura"
21,20767,Alfred Sisley,"[Alfred Sisley](https://my.meural.com/artists/121/alfred-sisley) is one of [Impressionism](https://my.meural.com/categories/148/impressionism)'s most unjustly overlooked artists. This may be because Sisley straddled two different cultures: he was born to English parents in France and divided his time between the two countries. As such, though he worked as one of the key figures in French Impressionism, he remained something of an outsider. Unlike many of his peers, who examined urban life, industrialization, and people, Sisley almost exclusively painted landscapes. What's more, there is a moodiness and distinct colorism in his works that suggest an influence from earlier periods of English and French art, especially the Barbizon school. As such, Sisley created his own unique brand of Impressionism that foreshadowed many of the new painting styles that would emerge in Europe after the turn of the 20th century. ([The Art Story](http://www.theartstory.org/artist-sisley-alfred.htm))","Port-Marly, White Frost"
22,20769,Alfred Sisley,"[Alfred Sisley](https://my.meural.com/artists/121/alfred-sisley) is one of [Impressionism](https://my.meural.com/categories/148/impressionism)'s most unjustly overlooked artists. This may be because Sisley straddled two different cultures: he was born to English parents in France and divided his time between the two countries. As such, though he worked as one of the key figures in French Impressionism, he remained something of an outsider. Unlike many of his peers, who examined urban life, industrialization, and people, Sisley almost exclusively painted landscapes. What's more, there is a moodiness and distinct colorism in his works that suggest an influence from earlier periods of English and French art, especially the Barbizon school. As such, Sisley created his own unique brand of Impressionism that foreshadowed many of the new painting styles that would emerge in Europe after the turn of the 20th century. ([The Art Story](http://www.theartstory.org/artist-sisley-alfred.htm))","The Place du Chenil at Marly-le-Roi, Snow"
23,10285,James Whistler,"Tate Britain, London",Nocturne: Blue and Silver - Chelsea
24,44930,Scott Dere,"As this Elk bathed itself in the warm sun, I positioned the camera so that the cool tones of the shadows would fall behind the subject. The color temperature variances in and out of the light are very different. In the Shadows the cool color temperature of the light made the Snow turn an ocean blue color giving the scene a very tranquil peaceful look. Meanwhile, the Bull Elk lays in the warm tones of the sun, bringing the proper colors to the Snow and animal. This combination of color temperatures created unusual tones which made for an interesting image to look at.",Sublime Solitude
25,136271,Maurice Prendergast,"Through his trips to Europe, Prendergast encountered and absorbed many new ideas relating to the practices and production of art. He took these with him back to the USA where he incorporated them into his own work to create a unique and personal style which helped to introduce and popularize Modernism in America. Prendergast continued to develop his art throughout his life, trialing new mediums and experimenting widely with notions of color and form. Fascinated by people and busy scenes, his work is reflective of contemporary ideas pertaining to health, leisure, and the benefits of the outdoors and he often presented a utopian take on the sights he painted. 

All of his work contained a sense of energy and motion. In addition, his paintings became increasingly abstract as his career progressed. ([The Art Story](http://www.theartstory.org/artist-prendergast-maurice.htm))",Snow in April
26,17479,Canaletto,"[Giovanni Antonio Canal](https://my.meural.com/artists/19/giovanni-canaletto), better known as Canaletto, was an Italian artist revered for his beautiful, faithful paintings of cityscapes. Born in Venice to painter Bernardo Canal, Canaletto followed in his father’s footsteps, becoming a theatrical scene painter. Soon after, however, he ventured into painting the daily life of Venice and its people in “vedute”—an Italian term meaning “view” that was used in the art world as a name for highly detailed, large-scale, cityscape paintings. Canaletto’s skill for creating grand scenes of Venice canals, palaces, and England’s countryside and cities made him admired by wealthy patrons and institutions in his lifetime as well as today.","The Molo and the Piazzetta San Marco, Venice"
27,116750,George Bellows,"[George Bellows](https://my.meural.com/artists/169/george-bellows) was an [American Realist](https://my.meural.com/playlists/6249/american-realism) painter born in Columbus, Ohio in 1882. Bellows is one of the most acclaimed American artists of his generation, and was best known for his gritty urban scenes of New York and American life in the 20th century. His expansive body of work also includes a multitude of seascapes, World War I scenes, and depictions of boxing matches.","Summer Night, Riverside Drive"
28,43506,Paul Gauguin,"[Paul Gauguin](https://my.meural.com/artists/152/paul-gauguin) was initially schooled in [Impressionism](https://my.meural.com/categories/148/impressionism) before pioneering a new style of painting broadly referred to as [Symbolism](https://my.meural.com/playlists/34730/introducing-symbolism). As Impressionism took off in the late 1880s, Gauguin experimented with color theory and decorative approaches to painting. He worked one summer in an intensely colorful style alongside [Vincent van Gogh](https://my.meural.com/artists/126/vincent-van-gogh) in the south of France. He then left Western society, traveling regularly to the South Pacific in the early 1890s, where he developed a new style that married daily observations with mystical symbolism—a style influenced by the so-called ""primitive"" arts of Africa, Asia, and French Polynesia. ([The Art Story](http://www.theartstory.org/artist-gauguin-paul.htm))",Still Life with Oranges
